ELAPSED_MINUTES;RESCHEDULING_TIME
0;7.181335
6;5.948652
12;6.314443
18;6.708364
24;6.880514
30;6.461312
36;6.557856
42;9.023046
48;6.360719
54;6.241098
60;6.359305
66;6.791833
72;7.035373
78;5.660201
84;6.293956
90;5.837868
96;6.336669
102;9.185356
108;7.744609
