ELAPSED_MINUTES;RESCHEDULING_TIME
0;321.114135
3;319.98454
6;84.562837
9;85.379108
12;69.523176
15;46.049368
18;52.577918
21;41.451906
24;51.53752
27;46.169129
30;45.070043
33;37.008585
36;41.895463
39;36.9063
42;33.189802
45;34.834773
48;32.091795
51;32.793109
54;32.620824
57;30.872674
60;30.424869
63;25.493893
66;25.461551
69;20.887751
72;20.435289
75;20.448585
78;20.311723
81;20.301362
84;20.753867
87;20.264645
90;20.099887
93;20.424872
96;20.133562
99;19.559768
102;19.91457
105;19.596726
108;19.501593
111;19.206905
114;19.351201
117;18.791563
120;18.458448
123;18.717195
126;18.42193
129;17.874142
132;16.623251
135;15.92595
138;15.892717
141;15.429181
144;15.070766
147;14.892455
150;15.036915
153;14.430692
156;14.172485
159;13.974426
162;13.745527
165;13.643416
168;13.333286
171;13.306447
174;13.293425
177;12.877212
180;13.823525
183;13.065069
186;13.031425
189;12.599193
192;11.926187
195;12.032829
198;11.823446
201;11.330902
204;11.056631
207;10.812126
210;10.378089
213;10.406194
216;10.554241
219;10.554014
222;10.097322
225;9.893227
228;12.453404
231;10.147229
234;9.811196
237;9.7533
240;9.827052
243;9.285103
246;9.596212
249;8.682477
252;8.193077
255;8.291838
258;8.213085
261;7.9026
264;7.952441
267;8.495548
270;6.63141
273;6.778192
276;6.384926
279;6.363859
282;7.200413
285;6.353843
288;6.285509
291;6.005138
294;6.017214
297;6.126939
300;6.00686
303;6.053857
306;5.708382
309;5.952284
312;6.344848
315;5.801857
318;6.073743
321;5.912733
324;5.508872
327;5.639913
330;5.760986
333;5.604828
336;5.477171
339;4.906489
342;4.887034
345;4.765137
348;4.805592
351;4.749864
354;4.418105
357;4.551797
360;4.537391
363;4.475408
366;4.037975
369;3.712194
372;3.911234
375;3.589082
378;3.667726
381;3.418237
384;3.080936
387;3.285586
390;3.249622
393;2.78952
396;2.477309
399;1.95247
402;1.872348
405;1.563391
408;1.524264
411;1.417182
414;1.181146
417;1.047093
420;1.12403
423;0.752942
426;0.615701
429;0.449247
432;0.387523
435;0.269316
