PLANNED_PICKING_DEADLINE_TS,KEY_TRUCK_TRIP,TRUCK_TRIP_ID,PLANNED_FRAME_STACK_ID
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc00-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc0a-BOTH-AMBIENT;679eb5b008f24d0e866e6dc0d-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ee22-BOTH-AMBIENT;679eb5b608f24d0e866e6ee26-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ef21-BOTH-COOLED
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ee21-BOTH-COOLED;679eb5b608f24d0e866e6ee25-BOTH-COOLED
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ee20-BOTH-AMBIENT;679eb5b608f24d0e866e6ee23-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc01-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc0a-BOTH-COOLED;679eb5b008f24d0e866e6dc0d-BOTH-COOLED
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ef20-BOTH-AMBIENT;679eb5b608f24d0e866e6ee24-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ee21-BOTH-AMBIENT;679eb5b608f24d0e866e6ee25-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ee22-BOTH-COOLED;679eb5b608f24d0e866e6ee26-BOTH-COOLED
